t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0.18,179.0769732,-2.062638204e-18,17.31495059,2.095060808e-22,3.353080109e-06,2.922269495e-22,0.9973222047,-4.864799376e-21,0.07313289335,5.636133651e-21,32.35159955,2.54747668e-22,-9001.619061,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.19,179.0721181,-2.062621348e-18,17.31448793,2.100884596e-22,3.619654808e-06,2.919137962e-22,0.9973222034,-4.863646505e-21,0.07313291074,5.637513298e-21,34.14844738,3.112589283e-22,-9001.708989,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.2,179.067263,-2.062603601e-18,17.314032,2.106897228e-22,3.88229675e-06,2.915892078e-22,0.997322202,-4.862490806e-21,0.07313292944,5.638891131e-21,35.94524651,3.722463979e-22,-9001.798915,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.21,179.0624077,-2.06258494e-18,17.31358275,2.113087645e-22,4.139245141e-06,2.912534652e-22,0.9973222005,-4.861332193e-21,0.07313294945,5.640267089e-21,37.74199694,4.377126378e-22,-9001.888839,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.22,179.0575524,-2.062565343e-18,17.31314013,2.119444812e-22,4.3887608e-06,2.909068567e-22,0.997322199,-4.860170582e-21,0.07313297071,5.641641109e-21,39.53869868,5.076601994e-22,-9001.978759,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.23,179.052697,-2.062544789e-18,17.31270409,2.125957727e-22,4.629126806e-06,2.905496769e-22,0.9973221973,-4.859005897e-21,0.0731329932,5.643013133e-21,41.33535174,5.82091624e-22,-9002.068678,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.24,179.0478416,-2.062523257e-18,17.31227457,2.132615428e-22,4.858649125e-06,2.901822269e-22,0.9973221956,-4.857838068e-21,0.07313301686,5.644383104e-21,43.13195613,6.610094428e-22,-9002.158593,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.25,179.042986,-2.062500727e-18,17.3118515,2.139406995e-22,5.075657227e-06,2.898048141e-22,0.9973221938,-4.856667027e-21,0.07313304164,5.645750967e-21,44.92851186,7.444161766e-22,-9002.248506,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.26,179.0381305,-2.06247718e-18,17.31143484,2.14632156e-22,5.278504681e-06,2.894177519e-22,0.9973221919,-4.855492714e-21,0.07313306746,5.647116667e-21,46.72501894,8.323143364e-22,-9002.338415,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.27,179.0332748,-2.062452598e-18,17.31102451,2.15334831e-22,5.465569723e-06,2.890213593e-22,0.9973221899,-4.854315073e-21,0.07313309425,5.648480154e-21,48.52147737,9.247064225e-22,-9002.428322,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.28,179.0284192,-2.062426963e-18,17.31062044,2.16047649e-22,5.635255822e-06,2.886159609e-22,0.9973221879,-4.853134054e-21,0.07313312194,5.649841379e-21,50.31788717,1.021594925e-21,-9002.518226,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.29,179.0235634,-2.062400259e-18,17.31022257,2.167695413e-22,5.785992212e-06,2.882018865e-22,0.9973221858,-4.851949612e-21,0.07313315042,5.651200294e-21,52.11424834,1.122982323e-21,-9002.608127,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.3,179.0187077,-2.06237247e-18,17.30983082,2.174994465e-22,5.916234415e-06,2.877794709e-22,0.9973221837,-4.850761707e-21,0.07313317961,5.652556854e-21,53.91056089,1.228871086e-21,-9002.698025,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.31,179.0138519,-2.062343579e-18,17.30944513,2.182363106e-22,6.024464738e-06,2.873490536e-22,0.9973221815,-4.849570303e-21,0.07313320939,5.653911017e-21,55.70682483,1.339263671e-21,-9002.78792,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.32,179.0089962,-2.062313574e-18,17.30906541,2.18979088e-22,6.109192757e-06,2.869109786e-22,0.9973221793,-4.848375372e-21,0.07313323965,5.655262741e-21,57.50304017,1.454162527e-21,-9002.877811,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.33,179.0041404,-2.062282441e-18,17.30869159,2.197267418e-22,6.168955779e-06,2.864655941e-22,0.997322177,-4.847176887e-21,0.07313327028,5.656611989e-21,59.29920691,1.573570089e-21,-9002.9677,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.34,178.9992846,-2.062250166e-18,17.30832358,2.204782444e-22,6.202319286e-06,2.860132522e-22,0.9973221748,-4.84597483e-21,0.07313330113,5.657958722e-21,61.09532507,1.697488784e-21,-9003.057584,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.35,178.9944288,-2.062216738e-18,17.3079613,2.212325779e-22,6.207877361e-06,2.85554309e-22,0.9973221725,-4.844769184e-21,0.07313333209,5.659302907e-21,62.89139465,1.825921025e-21,-9003.147466,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
0.36,178.9895731,-2.062182146e-18,17.30760467,2.219887347e-22,6.184253089e-06,2.850891237e-22,0.9973221702,-4.843559941e-21,0.073133363,5.660644513e-21,64.68741567,1.958869218e-21,-9003.237344,6.938702838e-21,-0.03213208451,-3.00609125e-20,0.1062307283,0.1062307283
