time_s,p_rads,q_rads,r_rads,H_inertial_mag,T_rot_J,T_drift_rel
0.2750000000,0.1435324427,0.3588995729,0.4998888614,0.0057482609,0.0017874459,-0.0538338138
0.2800000000,0.1429828772,0.3590345048,0.4994784547,0.0057453730,0.0017856513,-0.0547837841
0.2850000000,0.1424338408,0.3591679520,0.4990687922,0.0057424867,0.0017838586,-0.0557327496
0.2900000000,0.1418853347,0.3592999186,0.4986598741,0.0057396020,0.0017820677,-0.0566807115
0.2950000000,0.1413373602,0.3594304090,0.4982517005,0.0057367188,0.0017802788,-0.0576276712
0.3000000000,0.1407899184,0.3595594273,0.4978442715,0.0057338372,0.0017784917,-0.0585736299
0.3050000000,0.1402430104,0.3596869777,0.4974375872,0.0057309572,0.0017767066,-0.0595185888
0.3100000000,0.1396966375,0.3598130644,0.4970316475,0.0057280787,0.0017749233,-0.0604625494
0.3150000000,0.1391508008,0.3599376914,0.4966264527,0.0057252018,0.0017731419,-0.0614055127
0.3200000000,0.1386055014,0.3600608631,0.4962220028,0.0057223264,0.0017713624,-0.0623474801
0.3250000000,0.1380607405,0.3601825834,0.4958182978,0.0057194526,0.0017695847,-0.0632884529
0.3300000000,0.1375165191,0.3603028567,0.4954153377,0.0057165803,0.0017678090,-0.0642284322
0.3350000000,0.1369728383,0.3604216870,0.4950131226,0.0057137096,0.0017660351,-0.0651674194
0.3400000000,0.1364296993,0.3605390784,0.4946116525,0.0057108405,0.0017642631,-0.0661054158
0.3450000000,0.1358871031,0.3606550352,0.4942109274,0.0057079729,0.0017624929,-0.0670424225
0.3500000000,0.1353450507,0.3607695613,0.4938109473,0.0057051068,0.0017607247,-0.0679784409
0.3550000000,0.1348035433,0.3608826609,0.4934117121,0.0057022423,0.0017589583,-0.0689134721
0.3600000000,0.1342625819,0.3609943381,0.4930132219,0.0056993794,0.0017571937,-0.0698475175
0.3650000000,0.1337221675,0.3611045970,0.4926154765,0.0056965180,0.0017554310,-0.0707805782
0.3700000000,0.1331823011,0.3612134417,0.4922184761,0.0056936581,0.0017536702,-0.0717126556
0.3750000000,0.1326429838,0.3613208762,0.4918222204,0.0056907998,0.0017519112,-0.0726437508
0.3800000000,0.1321042165,0.3614269047,0.4914267094,0.0056879430,0.0017501541,-0.0735738652
0.3850000000,0.1315660003,0.3615315311,0.4910319431,0.0056850878,0.0017483988,-0.0745029999
0.3900000000,0.1310283361,0.3616347596,0.4906379214,0.0056822341,0.0017466454,-0.0754311563
0.3950000000,0.1304912248,0.3617365942,0.4902446441,0.0056793819,0.0017448938,-0.0763583354
0.4000000000,0.1299546675,0.3618370389,0.4898521112,0.0056765313,0.0017431441,-0.0772845387
0.4050000000,0.1294186651,0.3619360977,0.4894603225,0.0056736822,0.0017413962,-0.0782097672
0.4100000000,0.1288832185,0.3620337747,0.4890692779,0.0056708347,0.0017396501,-0.0791340223
0.4150000000,0.1283483287,0.3621300739,0.4886789773,0.0056679887,0.0017379059,-0.0800573052
0.4200000000,0.1278139965,0.3622249993,0.4882894205,0.0056651442,0.0017361635,-0.0809796170
0.4250000000,0.1272802230,0.3623185549,0.4879006074,0.0056623012,0.0017344230,-0.0819009591
0.4300000000,0.1267470089,0.3624107447,0.4875125378,0.0056594598,0.0017326843,-0.0828213326
0.4350000000,0.1262143552,0.3625015726,0.4871252115,0.0056566199,0.0017309474,-0.0837407389
0.4400000000,0.1256822627,0.3625910426,0.4867386284,0.0056537816,0.0017292123,-0.0846591790
0.4450000000,0.1251507323,0.3626791588,0.4863527882,0.0056509447,0.0017274791,-0.0855766542
0.4500000000,0.1246197649,0.3627659250,0.4859676907,0.0056481094,0.0017257476,-0.0864931658
0.4550000000,0.1240893613,0.3628513453,0.4855833358,0.0056452757,0.0017240180,-0.0874087150
0.4600000000,0.1235595223,0.3629354235,0.4851997232,0.0056424434,0.0017222903,-0.0883233029
0.4650000000,0.1230302488,0.3630181635,0.4848168527,0.0056396127,0.0017205643,-0.0892369308
0.4700000000,0.1225015416,0.3630995694,0.4844347240,0.0056367834,0.0017188401,-0.0901495999
0.4750000000,0.1219734016,0.3631796450,0.4840533369,0.0056339557,0.0017171178,-0.0910613114
0.4800000000,0.1214458294,0.3632583943,0.4836726912,0.0056311295,0.0017153972,-0.0919720665
0.4850000000,0.1209188259,0.3633358211,0.4832927865,0.0056283049,0.0017136785,-0.0928818664
0.4900000000,0.1203923919,0.3634119293,0.4829136226,0.0056254817,0.0017119615,-0.0937907124
0.4950000000,0.1198665281,0.3634867229,0.4825351993,0.0056226601,0.0017102464,-0.0946986056
0.5000000000,0.1193412353,0.3635602056,0.4821575161,0.0056198400,0.0017085330,-0.0956055472
0.5050000000,0.1188165143,0.3636323815,0.4817805729,0.0056170214,0.0017068215,-0.0965115385
0.5100000000,0.1182923657,0.3637032542,0.4814043692,0.0056142043,0.0017051117,-0.0974165806
0.5150000000,0.1177687904,0.3637728277,0.4810289049,0.0056113887,0.0017034038,-0.0983206747
0.5200000000,0.1172457890,0.3638411059,0.4806541795,0.0056085746,0.0017016976,-0.0992238220
0.5250000000,0.1167233623,0.3639080925,0.4802801928,0.0056057620,0.0016999932,-0.1001260237
0.5300000000,0.1162015110,0.3639737913,0.4799069443,0.0056029509,0.0016982906,-0.1010272811
0.5350000000,0.1156802357,0.3640382063,0.4795344338,0.0056001414,0.0016965898,-0.1019275952
0.5400000000,0.1151595372,0.3641013412,0.4791626608,0.0055973333,0.0016948907,-0.1028269673
0.5450000000,0.1146394161,0.3641631999,0.4787916251,0.0055945267,0.0016931934,-0.1037253985
0.5500000000,0.1141198732,0.3642237860,0.4784213261,0.0055917217,0.0016914980,-0.1046228901
0.5550000000,0.1136009090,0.3642831034,0.4780517636,0.0055889181,0.0016898042,-0.1055194433
0.5600000000,0.1130825242,0.3643411560,0.4776829372,0.0055861160,0.0016881123,-0.1064150591
0.5650000000,0.1125647195,0.3643979473,0.4773148464,0.0055833155,0.0016864221,-0.1073097388
0.5700000000,0.1120474954,0.3644534813,0.4769474908,0.0055805164,0.0016847337,-0.1082034836
0.5750000000,0.1115308527,0.3645077616,0.4765808701,0.0055777188,0.0016830470,-0.1090962946
0.5800000000,0.1110147920,0.3645607921,0.4762149837,0.0055749227,0.0016813622,-0.1099881730
0.5850000000,0.1104993138,0.3646125764,0.4758498314,0.0055721281,0.0016796790,-0.1108791200
0.5900000000,0.1099844187,0.3646631182,0.4754854125,0.0055693350,0.0016779977,-0.1117691368
0.5950000000,0.1094701074,0.3647124214,0.4751217267,0.0055665434,0.0016763180,-0.1126582245
0.6000000000,0.1089563804,0.3647604896,0.4747587736,0.0055637533,0.0016746402,-0.1135463842
0.6050000000,0.1084432383,0.3648073264,0.4743965526,0.0055609647,0.0016729641,-0.1144336172
0.6100000000,0.1079306818,0.3648529357,0.4740350633,0.0055581775,0.0016712897,-0.1153199246
0.6150000000,0.1074187112,0.3648973211,0.4736743052,0.0055553919,0.0016696171,-0.1162053076
0.6200000000,0.1069073272,0.3649404862,0.4733142778,0.0055526077,0.0016679462,-0.1170897673
0.6250000000,0.1063965304,0.3649824348,0.4729549807,0.0055498250,0.0016662771,-0.1179733049
0.6300000000,0.1058863212,0.3650231704,0.4725964133,0.0055470438,0.0016646097,-0.1188559216
0.6350000000,0.1053767003,0.3650626969,0.4722385751,0.0055442640,0.0016629440,-0.1197376184
0.6400000000,0.1048676680,0.3651010177,0.4718814656,0.0055414858,0.0016612801,-0.1206183966
0.6450000000,0.1043592250,0.3651381365,0.4715250844,0.0055387090,0.0016596179,-0.1214982573
0.6500000000,0.1038513717,0.3651740570,0.4711694308,0.0055359337,0.0016579575,-0.1223772016
0.6550000000,0.1033441086,0.3652087828,0.4708145043,0.0055331599,0.0016562987,-0.1232552307
0.6600000000,0.1028374363,0.3652423175,0.4704603043,0.0055303875,0.0016546417,-0.1241323458
0.6650000000,0.1023313552,0.3652746647,0.4701068305,0.0055276166,0.0016529865,-0.1250085479
0.6700000000,0.1018258657,0.3653058280,0.4697540821,0.0055248472,0.0016513329,-0.1258838383
0.6750000000,0.1013209684,0.3653358109,0.4694020586,0.0055220793,0.0016496811,-0.1267582180
0.6800000000,0.1008166636,0.3653646171,0.4690507594,0.0055193128,0.0016480310,-0.1276316882
0.6850000000,0.1003129520,0.3653922501,0.4687001840,0.0055165478,0.0016463826,-0.1285042501
0.6900000000,0.0998098338,0.3654187135,0.4683503318,0.0055137843,0.0016447359,-0.1293759047
0.6950000000,0.0993073095,0.3654440109,0.4680012021,0.0055110222,0.0016430909,-0.1302466533
0.7000000000,0.0988053796,0.3654681457,0.4676527945,0.0055082616,0.0016414477,-0.1311164969
0.7050000000,0.0983040445,0.3654911216,0.4673051082,0.0055055024,0.0016398061,-0.1319854366
0.7100000000,0.0978033046,0.3655129419,0.4669581428,0.0055027448,0.0016381663,-0.1328534736
0.7150000000,0.0973031603,0.3655336104,0.4666118974,0.0054999886,0.0016365281,-0.1337206091
0.7200000000,0.0968036120,0.3655531304,0.4662663716,0.0054972338,0.0016348917,-0.1345868441
0.7250000000,0.0963046601,0.3655715055,0.4659215647,0.0054944805,0.0016332569,-0.1354521798
0.7300000000,0.0958063050,0.3655887392,0.4655774761,0.0054917287,0.0016316239,-0.1363166172
0.7350000000,0.0953085470,0.3656048350,0.4652341051,0.0054889783,0.0016299925,-0.1371801576
0.7400000000,0.0948113866,0.3656197962,0.4648914511,0.0054862293,0.0016283629,-0.1380428020
0.7450000000,0.0943148240,0.3656336265,0.4645495134,0.0054834819,0.0016267349,-0.1389045515
0.7500000000,0.0938188597,0.3656463292,0.4642082913,0.0054807358,0.0016251086,-0.1397654073
0.7550000000,0.0933234941,0.3656579079,0.4638677843,0.0054779913,0.0016234840,-0.1406253704
0.7600000000,0.0928287274,0.3656683659,0.4635279915,0.0054752482,0.0016218611,-0.1414844420
0.7650000000,0.0923345599,0.3656777067,0.4631889124,0.0054725065,0.0016202399,-0.1423426232
0.7700000000,0.0918409921,0.3656859337,0.4628505463,0.0054697663,0.0016186203,-0.1431999151
0.7750000000,0.0913480243,0.3656930504,0.4625128924,0.0054670275,0.0016170025,-0.1440563188
0.7800000000,0.0908556567,0.3656990601,0.4621759501,0.0054642902,0.0016153863,-0.1449118354
0.7850000000,0.0903638897,0.3657039663,0.4618397186,0.0054615543,0.0016137717,-0.1457664660
0.7900000000,0.0898727236,0.3657077723,0.4615041973,0.0054588198,0.0016121589,-0.1466202117
0.7950000000,0.0893821586,0.3657104816,0.4611693854,0.0054560868,0.0016105477,-0.1474730736
0.8000000000,0.0888921952,0.3657120974,0.4608352822,0.0054533553,0.0016089382,-0.1483250528
0.8050000000,0.0884028335,0.3657126233,0.4605018870,0.0054506252,0.0016073303,-0.1491761504
0.8100000000,0.0879140738,0.3657120625,0.4601691991,0.0054478965,0.0016057242,-0.1500263674
0.8150000000,0.0874259164,0.3657104183,0.4598372177,0.0054451692,0.0016041196,-0.1508757051
0.8200000000,0.0869383616,0.3657076942,0.4595059420,0.0054424434,0.0016025168,-0.1517241644
0.8250000000,0.0864514097,0.3657038935,0.4591753714,0.0054397191,0.0016009156,-0.1525717465
0.8300000000,0.0859650608,0.3656990195,0.4588455051,0.0054369961,0.0015993160,-0.1534184524
0.8350000000,0.0854793153,0.3656930754,0.4585163422,0.0054342746,0.0015977181,-0.1542642832
0.8400000000,0.0849941734,0.3656860647,0.4581878822,0.0054315546,0.0015961219,-0.1551092401
