u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
1.0000000000,0.5000000000,0.0100000000,0.0050000000
10.5911453859,-2.9858294736,-0.0481272969,-0.0058540201
19.8717378150,-6.2201860944,0.0022963334,-0.0174146320
28.6618255651,-6.3593421363,0.0454215155,-0.0050371597
36.7520318196,-6.3185564732,0.0530972290,0.0197083319
44.0189144339,-7.1422296134,0.0593802988,0.0477653084
50.3752840832,-7.9716597182,0.0747669131,0.0813440345
55.7332908844,-8.4194436282,0.0890165519,0.1224032294
60.0191777701,-8.7213602228,0.0980347058,0.1692588728
63.1866349023,-9.0060638059,0.1046003750,0.2199927092
65.2134713598,-9.2042333890,0.1100390099,0.2737365697
65.6028955298,-0.7125165105,0.3448364549,0.3917784666
63.8127338388,6.7346936733,0.2389549552,0.5382066057
60.0165613453,4.8964077929,0.1558721786,0.6357806466
54.5423785610,3.0346096756,0.1758331028,0.7186646991
47.5279927827,4.2521167776,0.1907079917,0.8108122577
39.0841235700,5.8302914127,0.1693978308,0.9010290599
29.4067773887,6.6186924675,0.1441247441,0.9793904999
18.7281122411,7.3714094330,0.1269499654,1.0472082790
7.2732017789,8.4662850914,0.1090512464,1.1063061633
-4.7327057266,9.6645565632,0.0866682444,1.1552933942
-17.0558041256,10.8073197046,0.0628656769,1.1926943288
-29.4609549434,11.9324560376,0.0395480126,1.2183028078
-41.7200472496,13.0652031936,0.0164235291,1.2322901706
-53.6153246220,14.1697083810,-0.0065805965,1.2347270166
-64.9417338116,15.2117951653,-0.0288609525,1.2258243912
-75.5103811035,16.1781949410,-0.0498714938,1.2060845025
-85.1518910919,17.0585008788,-0.0693177205,1.1762177993
-93.7188897437,17.8384058080,-0.0869468525,1.1370705211
-101.0878953440,18.5051694156,-0.1024808629,1.0896223612
-107.1608429627,19.0502448210,-0.1156827570,1.0349823104
-111.8661459492,19.4678688471,-0.1263851564,0.9743603799
-115.1592087903,19.7542370961,-0.1344739488,0.9090368597
-117.0224184611,19.9079123578,-0.1398797916,0.8403379516
-117.4646561871,19.9300673266,-0.1425828900,0.7696121560
-116.5203481333,19.8242785671,-0.1426149607,0.6982049149
-114.2480776099,19.5962938630,-0.1400557889,0.6274336784
-110.7287980578,19.2538904623,-0.1350293026,0.5585648367
-106.0636938852,18.8067046675,-0.1277003543,0.4927924291
-100.3717383954,18.2659945641,-0.1182708482,0.4312186198
-93.7870013699,17.6443768636,-0.1069748776,0.3748363669
-86.4557626839,16.9555586169,-0.0940733977,0.3245146456
-78.5334904407,16.2140589307,-0.0798487044,0.2809863863
-70.1817425773,15.4349207179,-0.0645987054,0.2448392299
-61.5650504278,14.6334207791,-0.0486310379,0.2165091896
-52.8478413772,13.8247853513,-0.0322571791,0.1962772615
-44.1914553598,13.0239153779,-0.0157866741,0.1842689540
-35.7513065926,12.2451255858,0.0004784253,0.1804566546
-27.6742377499,11.5019018941,0.0162488224,0.1846647063
-20.0961088869,10.8066812162,0.0312528510,0.1965770220
-13.1396578906,10.1706569352,0.0452408828,0.2157470216
-6.9126632108,9.6036127535,0.0579892027,0.2416096433
-1.5064332066,9.1137870983,0.0693032979,0.2734951471
3.0053602091,8.7077696530,0.0790205186,0.3106444076
6.5674927329,8.3904309331,0.0870120803,0.3522253737
9.1436395188,8.1648851902,0.0931843908,0.3973503605
10.7164702417,8.0324863238,0.0974796989,0.4450938352
11.2873963101,7.9928558893,0.0998760722,0.4945103595
10.8759852142,8.0439417362,0.1003867251,0.5446523566
9.5190625923,8.1821052939,0.0990587291,0.5945873865
7.2695276572,8.4022350649,0.0959711454,0.6434146308
-5.0251617898,3.3251439241,-0.0971783470,0.6400473066
-16.7032123494,-0.9137792582,-0.0430927549,0.6047051079
-27.6262287437,1.7067964864,-0.0072411830,0.5930091680
-37.7641378908,4.3863169916,-0.0480167409,0.5792639460
-46.9477371254,4.8245156959,-0.0857999227,0.5454517308
-54.9928293329,4.9853571001,-0.0972706712,0.4995408201
-61.7872194187,5.6885621463,-0.1055027198,0.4488378147
-67.2591591257,6.3604992466,-0.1188625744,0.3926680391
-71.3496534728,6.7037785096,-0.1304509917,0.3302081240
-74.0212845629,6.8745290163,-0.1371002841,0.2632022594
-75.2673859354,6.9730144428,-0.1406829363,0.1936535500
-75.1092573013,6.9579602734,-0.1422731019,0.1228087021
-73.5919771164,6.7999617880,-0.1413891625,0.0517852346
-70.7833152692,6.5171557578,-0.1377642776,-0.0181050660
-66.7727738293,6.1293637395,-0.1316844293,-0.0855608360
-61.6692310197,5.6439959986,-0.1234527814,-0.1494307607
-55.5980840115,5.0692070386,-0.1132472211,-0.2086824263
-48.6984849299,4.4187584166,-0.1012727793,-0.2623784603
-41.1204963862,3.7078782106,-0.0878086531,-0.3097032035
-33.0220431264,2.9511509294,-0.0731566864,-0.3499867978
-24.5657795233,2.1633244788,-0.0576165148,-0.3827098787
-15.9159910747,1.3596575820,-0.0414928481,-0.4075043056
-7.2355705321,0.5553365531,-0.0250963618,-0.4241560496
1.3168978155,-0.2350088763,-0.0087343266,-0.4326058295
9.5898925595,-0.9974766519,0.0072971321,-0.4329454208
17.4414969059,-1.7190529556,0.0227171089,-0.4254110453
24.7416886110,-2.3878421445,0.0372638039,-0.4103747832
31.3743460098,-2.9932724730,0.0506989643,-0.3883338903
37.2389420879,-3.5262436716,0.0628117605,-0.3598980279
42.2519045274,-3.9792407979,0.0734217316,-0.3257747882
46.3476270002,-4.3464244393,0.0823810729,-0.2867539127
