t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,u0,u1,u2,u3,u4
0.18,179.1702664,-2.062670349e-18,16.69927991,2.079434491e-22,-0.0192703338,2.93722383e-22,0.9974490901,-4.854968672e-21,0.07138145843,5.64475332e-21,32.35442102,2.739177274e-22,-9001.620683,6.938702838e-21,-0.03400112865,-3.00609125e-20,0.1294885999,0.1294885999
0.19,179.170461,-2.062658124e-18,16.66868326,2.083047414e-22,-0.01874315626,2.935512096e-22,0.9974558694,-4.853289431e-21,0.07128666444,5.646604853e-21,34.15163239,3.356756491e-22,-9001.710509,6.938702838e-21,-0.03389931898,-3.00609125e-20,0.1295291187,0.1295291187
0.2,179.170567,-2.062645378e-18,16.6391917,2.086717663e-22,-0.01822508658,2.933739873e-22,0.9974624537,-4.851623148e-21,0.0711944764,5.648442655e-21,35.94881935,4.025278881e-22,-9001.800296,6.938702838e-21,-0.03378382543,-3.00609125e-20,0.1295697823,0.1295697823
0.21,179.1705869,-2.0626321e-18,16.61077892,2.090438271e-22,-0.01771834077,2.931909603e-22,0.9974688473,-4.849969518e-21,0.07110484341,5.650266949e-21,37.74598218,4.744939663e-22,-9001.890042,6.938702838e-21,-0.03365954813,-3.00609125e-20,0.1296105661,0.1296105661
0.22,179.1705232,-2.062618276e-18,16.583416,2.094202392e-22,-0.01722441263,2.930023778e-22,0.9974750551,-4.848328185e-21,0.0710177053,5.652078005e-21,39.54312113,5.515926089e-22,-9001.979745,6.938702838e-21,-0.03353010223,-3.00609125e-20,0.1296514475,0.1296514475
0.23,179.1703789,-2.062603893e-18,16.5570724,2.098003283e-22,-0.01674426132,2.928084928e-22,0.9974810826,-4.846698762e-21,0.0709329958,5.653876125e-21,41.34023646,6.338418128e-22,-9002.069405,6.938702838e-21,-0.03339814278,-3.00609125e-20,0.1296924059,0.1296924059
0.24,179.1701567,-2.06258894e-18,16.53171673,2.101834294e-22,-0.0162784516,2.926095617e-22,0.9974869353,-4.845080842e-21,0.07085064483,5.655661627e-21,43.13732841,7.212589023e-22,-9002.159019,6.938702838e-21,-0.03326560795,-3.00609125e-20,0.1297334223,0.1297334223
0.25,179.1698597,-2.062573407e-18,16.50731722,2.105688861e-22,-0.01582725857,2.924058434e-22,0.997492619,-4.84347401e-21,0.07077058021,5.657434844e-21,44.93439722,8.138605751e-22,-9002.248586,6.938702838e-21,-0.03313390095,-3.00609125e-20,0.1297744791,0.1297744791
0.26,179.1694908,-2.062557283e-18,16.48384217,2.109560504e-22,-0.01539074587,2.921975988e-22,0.9974981394,-4.84187785e-21,0.07069272893,5.659196111e-21,46.7314431,9.116629416e-22,-9002.338105,6.938702838e-21,-0.03300402628,-3.00609125e-20,0.1298155601,0.1298155601
0.27,179.1690528,-2.062540558e-18,16.46126018,2.113442822e-22,-0.01496882407,2.919850907e-22,0.9975035021,-4.840291947e-21,0.07061701801,5.660945768e-21,48.5284663,1.014681559e-21,-9002.427576,6.938702838e-21,-0.03287669159,-3.00609125e-20,0.1298566506,0.1298566506
0.28,179.1685486,-2.062523224e-18,16.43954039,2.117329493e-22,-0.01456129412,2.917685829e-22,0.9975087129,-4.838715894e-21,0.07054337522,5.662684148e-21,50.32546701,1.122931458e-21,-9002.516995,6.938702838e-21,-0.03275238389,-3.00609125e-20,0.1298977366,0.1298977366
0.29,179.1679809,-2.062505271e-18,16.41865259,2.121214274e-22,-0.01416787983,2.915483405e-22,0.997513777,-4.837149294e-21,0.07047172949,5.664411582e-21,52.12244546,1.236427174e-21,-9002.606363,6.938702838e-21,-0.03263142657,-3.00609125e-20,0.1299388056,0.1299388056
0.3,179.1673524,-2.062486693e-18,16.39856734,2.125091002e-22,-0.01378825182,2.913246292e-22,0.9975187,-4.835591759e-21,0.07040201127,5.666128396e-21,53.91940184,1.355182765e-21,-9002.695679,6.938702838e-21,-0.03251402204,-3.00609125e-20,0.1299798456,0.1299798456
0.31,179.1666657,-2.062467483e-18,16.379256,2.128953597e-22,-0.01342204547,2.910977154e-22,0.9975234869,-4.834042915e-21,0.07033415274,5.667834905e-21,55.71633636,1.479211834e-21,-9002.784941,6.938702838e-21,-0.03240028355,-3.00609125e-20,0.1300208459,0.1300208459
0.32,179.1659233,-2.062447633e-18,16.36069079,2.13279606e-22,-0.01306887406,2.908678658e-22,0.9975281429,-4.832502402e-21,0.07026808794,5.669531421e-21,57.51324921,1.608527551e-21,-9002.874148,6.938702838e-21,-0.03229025902,-3.00609125e-20,0.1300617963,0.1300617963
0.33,179.1651276,-2.062427139e-18,16.3428448,2.13661248e-22,-0.01272833849,2.906353474e-22,0.9975326727,-4.830969871e-21,0.07020375287,5.671218243e-21,59.31014058,1.743142667e-21,-9002.963299,6.938702838e-21,-0.03218394881,-3.00609125e-20,0.1301026875,0.1301026875
0.34,179.1642809,-2.062405995e-18,16.32569199,2.140397034e-22,-0.01240003446,2.904004272e-22,0.9975370811,-4.829444991e-21,0.07014108555,5.672895665e-21,61.10701066,1.883069534e-21,-9003.052394,6.938702838e-21,-0.03208131896,-3.00609125e-20,0.1301435108,0.1301435108
0.35,179.1633855,-2.062384197e-18,16.3092072,2.144143988e-22,-0.01208355759,2.901633718e-22,0.9975413726,-4.827927441e-21,0.07008002599,5.674563971e-21,62.90385963,2.028320118e-21,-9003.141431,6.938702838e-21,-0.03198231106,-3.00609125e-20,0.1301842581,0.1301842581
0.36,179.1624435,-2.06236174e-18,16.29336614,2.147847702e-22,-0.01177850722,2.899244479e-22,0.9975455515,-4.826416916e-21,0.07002051622,5.676223436e-21,64.70068766,2.178906017e-21,-9003.230409,6.938702838e-21,-0.03188684962,-3.00609125e-20,0.1302249221,0.1302249221
0.37,179.161457,-2.062338623e-18,16.27814533,2.151502633e-22,-0.01148448904,2.896839214e-22,0.9975496221,-4.824913124e-21,0.06996250025,5.677874329e-21,66.49749492,2.33483847e-21,-9003.319329,6.938702838e-21,-0.03179484752,-3.00609125e-20,0.1302654959,0.1302654959
0.38,179.1604279,-2.062314841e-18,16.26352216,2.155103335e-22,-0.01120111696,2.894420578e-22,0.9975535884,-4.823415787e-21,0.06990592403,5.679516908e-21,68.29428159,2.496128377e-21,-9003.408188,6.938702838e-21,-0.03170621004,-3.00609125e-20,0.1303059729,0.1303059729
0.39,179.1593581,-2.062290394e-18,16.24947478,2.158644464e-22,-0.01092801439,2.891991218e-22,0.9975574544,-4.82192464e-21,0.06985073543,5.681151424e-21,70.09104782,2.662786305e-21,-9003.496986,6.938702838e-21,-0.03162083788,-3.00609125e-20,0.1303463474,0.1303463474
0.4,179.1582496,-2.062265279e-18,16.23598216,2.16212078e-22,-0.01066481505,2.88955377e-22,0.9975612237,-4.82043943e-21,0.06979688413,5.682778122e-21,71.88779378,2.834822505e-21,-9003.585723,6.938702838e-21,-0.03153862932,-3.00609125e-20,0.1303866137,0.1303866137
0.41,179.157104,-2.062239496e-18,16.223024,2.165527147e-22,-0.01041116349,2.887110864e-22,0.9975648999,-4.818959918e-21,0.06974432166,5.684397238e-21,73.68451963,3.01224692e-21,-9003.674398,6.938702838e-21,-0.03145948185,-3.00609125e-20,0.1304267669,0.1304267669
0.42,179.1559231,-2.062213045e-18,16.21058075,2.16885854e-22,-0.01016671534,2.884665113e-22,0.9975684867,-4.817485877e-21,0.06969300125,5.686009e-21,75.48122552,3.195069201e-21,-9003.76301,6.938702838e-21,-0.03138329332,-3.00609125e-20,0.1304668021,0.1304668021
0.43,179.1547084,-2.062185926e-18,16.19863356,2.172110045e-22,-0.009931137384,2.88221912e-22,0.9975719872,-4.81601709e-21,0.06964287785,5.687613632e-21,77.27791159,3.383298712e-21,-9003.851558,6.938702838e-21,-0.03130996281,-3.00609125e-20,0.1305067151,0.1305067151
0.44,179.1534616,-2.062158141e-18,16.18716425,2.17527686e-22,-0.009704107556,2.879775471e-22,0.9975754047,-4.814553354e-21,0.06959390802,5.689211348e-21,79.074578,3.576944544e-21,-9003.940042,6.938702838e-21,-0.03123939118,-3.00609125e-20,0.1305465017,0.1305465017
0.45,179.152184,-2.06212969e-18,16.17615534,2.1783543e-22,-0.00948531477,2.877336739e-22,0.9975787422,-4.813094475e-21,0.06954604992,5.690802358e-21,80.8712249,3.776015524e-21,-9004.028461,6.938702838e-21,-0.03117148151,-3.00609125e-20,0.1305861581,0.1305861581
0.46,179.1508772,-2.062100577e-18,16.16558996,2.181337797e-22,-0.009274458746,2.874905475e-22,0.9975820029,-4.811640271e-21,0.06949926322,5.692386865e-21,82.66785241,3.980520223e-21,-9004.116814,6.938702838e-21,-0.03110613938,-3.00609125e-20,0.130625681,0.130625681
0.47,179.1495426,-2.062070803e-18,16.15545185,2.184222904e-22,-0.009071249757,2.872484216e-22,0.9975851894,-4.810190569e-21,0.06945350906,5.693965066e-21,84.46446068,4.190466967e-21,-9004.205102,6.938702838e-21,-0.03104327301,-3.00609125e-20,0.1306650671,0.1306650671
0.48,179.1481813,-2.062040372e-18,16.14572537,2.187005294e-22,-0.008875408365,2.870075474e-22,0.9975883046,-4.808745209e-21,0.06940875,5.695537154e-21,86.26104985,4.405863847e-21,-9004.293323,6.938702838e-21,-0.03098279342,-3.00609125e-20,0.1307043134,0.1307043134
0.49,179.1467948,-2.062009288e-18,16.13639543,2.189680767e-22,-0.008686665125,2.867681741e-22,0.9975913511,-4.807304037e-21,0.06936494999,5.697103315e-21,88.05762005,4.626718723e-21,-9004.381477,6.938702838e-21,-0.03092461443,-3.00609125e-20,0.1307434172,0.1307434172
0.5,179.1453843,-2.061977556e-18,16.12744751,2.192245247e-22,-0.008504760288,2.865305488e-22,0.9975943314,-4.805866912e-21,0.06932207425,5.698663729e-21,89.8541714,4.853039236e-21,-9004.469564,6.938702838e-21,-0.03086865267,-3.00609125e-20,0.1307823759,0.1307823759
0.51,179.1439508,-2.061945179e-18,16.11886759,2.194694786e-22,-0.008329443486,2.862949158e-22,0.997597248,-4.804433698e-21,0.06928008933,5.700218574e-21,91.65070404,5.084832815e-21,-9004.557582,6.938702838e-21,-0.03081482761,-3.00609125e-20,0.1308211872,0.1308211872
0.52,179.1424956,-2.061912165e-18,16.11064221,2.197025564e-22,-0.008160473433,2.860615171e-22,0.9976001033,-4.803004271e-21,0.06923896297,5.701768021e-21,93.44721809,5.322106682e-21,-9004.645532,6.938702838e-21,-0.03076306145,-3.00609125e-20,0.1308598489,0.1308598489
0.53,179.1410197,-2.061878518e-18,16.10275836,2.199233895e-22,-0.007997617612,2.858305919e-22,0.9976028994,-4.801578515e-21,0.06919866408,5.703312237e-21,95.24371367,5.564867864e-21,-9004.733414,6.938702838e-21,-0.03071327914,-3.00609125e-20,0.1308983591,0.1308983591
0.54,179.1395241,-2.061844245e-18,16.09520353,2.201316222e-22,-0.007840651977,2.856023763e-22,0.9976056386,-4.80015632e-21,0.06915916275,5.704851385e-21,97.04019091,5.813123197e-21,-9004.821226,6.938702838e-21,-0.03066540825,-3.00609125e-20,0.1309367159,0.1309367159
0.55,179.1380099,-2.061809354e-18,16.08796567,2.203269124e-22,-0.007689360656,2.853771039e-22,0.997608323,-4.798737587e-21,0.06912043014,5.706385625e-21,98.83664992,6.06687933e-21,-9004.908968,6.938702838e-21,-0.03061937893,-3.00609125e-20,0.1309749175,0.1309749175
0.56,179.136478,-2.061773851e-18,16.08103316,2.205089314e-22,-0.007543535662,2.851550049e-22,0.9976109546,-4.797322221e-21,0.06908243846,5.70791511e-21,100.6330908,6.326142738e-21,-9004.99664,6.938702838e-21,-0.03057512385,-3.00609125e-20,0.1310129626,0.1310129626
0.57,179.1349293,-2.061737745e-18,16.0743948,2.206773643e-22,-0.007402976612,2.849363063e-22,0.9976135353,-4.795910137e-21,0.06904516095,5.709439992e-21,102.4295137,6.590919725e-21,-9005.084242,6.938702838e-21,-0.03053257807,-3.00609125e-20,0.1310508495,0.1310508495
0.58,179.1333648,-2.061701044e-18,16.06803983,2.208319097e-22,-0.007267490458,2.847212317e-22,0.9976160669,-4.794501256e-21,0.06900857184,5.710960419e-21,104.2259187,6.861216427e-21,-9005.171773,6.938702838e-21,-0.03049167905,-3.00609125e-20,0.1310885771,0.1310885771
0.59,179.1317852,-2.061663757e-18,16.06195785,2.209722802e-22,-0.007136891215,2.845100015e-22,0.9976185514,-4.793095506e-21,0.06897264628,5.712476535e-21,106.022306,7.137038822e-21,-9005.259232,6.938702838e-21,-0.03045236646,-3.00609125e-20,0.1311261442,0.1311261442
0.6,179.1301913,-2.061625894e-18,16.05613886,2.210982023e-22,-0.007010999712,2.843028321e-22,0.9976209903,-4.79169282e-21,0.06893736036,5.71398848e-21,107.8186756,7.418392736e-21,-9005.346621,6.938702838e-21,-0.03041458221,-3.00609125e-20,0.1311635496,0.1311635496
0.61,179.1285841,-2.061587464e-18,16.05057322,2.212094167e-22,-0.006889643342,2.840999366e-22,0.9976233854,-4.79029314e-21,0.06890269102,5.715496393e-21,109.6150276,7.705283844e-21,-9005.433937,6.938702838e-21,-0.03037827029,-3.00609125e-20,0.1312007923,0.1312007923
0.62,179.1269641,-2.061548477e-18,16.04525165,2.213056779e-22,-0.006772655822,2.839015239e-22,0.9976257383,-4.788896412e-21,0.06886861606,5.717000408e-21,111.4113622,7.997717679e-21,-9005.521181,6.938702838e-21,-0.03034337677,-3.00609125e-20,0.1312378715,0.1312378715
0.63,179.1253322,-2.061508945e-18,16.04016521,2.213867549e-22,-0.006659876967,2.837077993e-22,0.9976280505,-4.787502587e-21,0.06883511409,5.718500657e-21,113.2076794,8.295699636e-21,-9005.608353,6.938702838e-21,-0.03030984966,-3.00609125e-20,0.1312747863,0.1312747863
0.64,179.1236891,-2.061468879e-18,16.03530527,2.214524307e-22,-0.006551152458,2.835189638e-22,0.9976303234,-4.786111624e-21,0.06880216451,5.719997268e-21,115.0039794,8.599234977e-21,-9005.695453,6.938702838e-21,-0.03027763888,-3.00609125e-20,0.1313115361,0.1313115361
0.65,179.1220353,-2.061428289e-18,16.03066355,2.215025026e-22,-0.00644633364,2.833352144e-22,0.9976325585,-4.784723484e-21,0.06876974746,5.721490369e-21,116.8002622,8.908328834e-21,-9005.782479,6.938702838e-21,-0.03024669618,-3.00609125e-20,0.13134812,0.13134812
0.66,179.1203716,-2.061387188e-18,16.02623204,2.215367823e-22,-0.006345277303,2.831567438e-22,0.9976347572,-4.783338136e-21,0.06873784383,5.722980084e-21,118.596528,9.222986215e-21,-9005.869432,6.938702838e-21,-0.03021697508,-3.00609125e-20,0.1313845376,0.1313845376
0.67,179.1186985,-2.061345588e-18,16.02200304,2.215550959e-22,-0.00624784549,2.829837403e-22,0.9976369208,-4.781955553e-21,0.06870643519,5.724466533e-21,120.3927768,9.54321201e-21,-9005.956312,6.938702838e-21,-0.0301884308,-3.00609125e-20,0.1314207883,0.1314207883
0.68,179.1170167,-2.061303503e-18,16.01796913,2.215572838e-22,-0.006153905303,2.828163878e-22,0.9976390505,-4.78057571e-21,0.0686755038,5.725949836e-21,122.1890088,9.869010991e-21,-9006.043119,6.938702838e-21,-0.03016102019,-3.00609125e-20,0.1314568716,0.1314568716
0.69,179.1153268,-2.061260944e-18,16.01412316,2.215432007e-22,-0.006063328716,2.826548656e-22,0.9976411477,-4.779198591e-21,0.06864503256,5.727430111e-21,123.985224,1.020038782e-20,-9006.129851,6.938702838e-21,-0.03013470169,-3.00609125e-20,0.1314927871,0.1314927871
0.7,179.1136292,-2.061217925e-18,16.01045824,2.215127158e-22,-0.005975992396,2.824993483e-22,0.9976432133,-4.777824181e-21,0.068615005,5.728907471e-21,125.7814226,1.053734705e-20,-9006.21651,6.938702838e-21,-0.03010943526,-3.00609125e-20,0.1315285344,0.1315285344
0.71,179.1119245,-2.061174461e-18,16.00696775,2.214657126e-22,-0.005891777536,2.82350006e-22,0.9976452487,-4.776452468e-21,0.06858540527,5.730382029e-21,127.5776046,1.087989312e-20,-9006.303094,6.938702838e-21,-0.03008518233,-3.00609125e-20,0.1315641133,0.1315641133
0.72,179.1102132,-2.061130565e-18,16.00364528,2.214020891e-22,-0.005810569682,2.822070036e-22,0.9976472548,-4.775083448e-21,0.06855621807,5.731853897e-21,129.3737701,1.12280304e-20,-9006.389604,6.938702838e-21,-0.03006190574,-3.00609125e-20,0.1315995234,0.1315995234
0.73,179.1084958,-2.061086251e-18,16.00048469,2.213217573e-22,-0.005732258579,2.820705014e-22,0.9976492327,-4.773717116e-21,0.06852742868,5.733323184e-21,131.1699192,1.158176313e-20,-9006.476039,6.938702838e-21,-0.03003956968,-3.00609125e-20,0.1316347645,0.1316347645
0.74,179.1067728,-2.061041535e-18,15.99748003,2.21224644e-22,-0.005656738013,2.819406546e-22,0.9976511835,-4.772353474e-21,0.06849902292,5.734789995e-21,132.966052,1.194109546e-20,-9006.562399,6.938702838e-21,-0.03001813967,-3.00609125e-20,0.1316698365,0.1316698365
0.75,179.1050446,-2.06099643e-18,15.9946256,2.211106897e-22,-0.005583905665,2.818176133e-22,0.997653108,-4.770992525e-21,0.06847098713,5.736254438e-21,134.7621686,1.230603147e-20,-9006.648684,6.938702838e-21,-0.02999758249,-3.00609125e-20,0.1317047392,0.1317047392
0.76,179.1033116,-2.060950954e-18,15.9919159,2.209798496e-22,-0.005513662969,2.817015226e-22,0.9976550073,-4.769634275e-21,0.06844330815,5.737716615e-21,136.5582691,1.267657513e-20,-9006.734895,6.938702838e-21,-0.02997786613,-3.00609125e-20,0.1317394724,0.1317394724
0.77,179.1015743,-2.06090512e-18,15.98934561,2.208320926e-22,-0.005445914971,2.815925222e-22,0.9976568822,-4.768278734e-21,0.06841597329,5.739176628e-21,138.3543535,1.305273034e-20,-9006.82103,6.938702838e-21,-0.02995895976,-3.00609125e-20,0.1317740361,0.1317740361
0.78,179.099833,-2.060858946e-18,15.98690963,2.206674021e-22,-0.0053805702,2.814907466e-22,0.9976587336,-4.766925915e-21,0.06838897035,5.740634578e-21,140.150422,1.343450092e-20,-9006.907089,6.938702838e-21,-0.02994083366,-3.00609125e-20,0.1318084302,0.1318084302
